,sentence,category
0, गोल्डेन जेनेरेसन मानिएको बेल्जियम सेमिफाइनलमा प्रवेश गरेको खण्डमा पोर्चुगललाई समस्या पर्न सक्ने रोनाल्डोको भनाइ छ ,Sports
1,सभापति थापाले कृषि र पशुपन्छी मन्त्रालयबाट वितरण हुने अनुदानको कार्यक्रम प्रतिफलमा आधारित हुनुपर्ने बताए ,Economy
2,उनी मैदान फर्किएको अवस्थामा इंग्लिस क्लब म्यानचेष्टर सिटीलाई बेर्नाबेउमा निकै दबाव हुनेछ ,Sports
3, यस्तैमा गुह्येश्वरीदेखी गोकर्ण करिडोरसम्म सौर्यबत्ती जडान गरि बागमतीलाई फोहोर हुनबाट रोक्न स्थानीयले पहल थालेका छन् ,National
4, मन्त्रालयले पहिले यिनै आयोजनालाई सम्पन्न गर्ने लक्ष्य राखे पनि मन्त्री यादवको दबाबले नयाँ कार्यक्रम थपिएका हुन् ,National
5, त्यस्ता वस्तुको आयातमा भएको कडाई र रेमिट्यान्स लगातार बढेपछि भुक्तानी सन्तुलनमा सुधार आएको थियो ,Economy
6," अर्यालले गत आइतबारदेखि दुर्गम जिल्ला बैतडी, डोटी, अछाम तथा डडेल्धुराको भ्रमण गरेका छन्",Sports
7, चर्पी नभएको घरमा केटाले बिहे गर्नै नमानेको प्रसंग समेटेर निर्माण गरिएको उक्त सिरियलमा नयाँ चर्पी बनेपछि चर्पीलाई घुमेर बिहे गरेका थिए केटाकेटीले ,Entertainment
8," “नाटकमा भएको गीतको ओरिजिनल साउन्ड ट्रयाक (ओएसटी) बनाएर यू ट्यूबमा हाल्ने योजना छ”, खनाल भन्छन्, “यसले नाटकको विज्ञापन होला भन्ने लागेको छ",Entertainment
9, इआइए गर्दा र यसको अन्तिम स्वीकृति गर्दा वन मन्त्रालयको सहभागिता र स्वीकृति अनिवार्य गरिएको हुन्छ ,Economy
10,स्पेनिस फुटबल क्लब रियल मड्रिड फेरि विश्वकै सबैभन्दा धनी क्लब भएको छ ,Sports
11,समूह ए को अर्को खेलमा स्वीडेनले नेदरल्याण्ड्ससँग पनि गोलरहित बराबरी खेलेको छ ,Sports
12, घोडामा डोल्पा सदरमुकाम दुनैबाट छिप्का जाँदै गर्दा थिन्लेको घोडालाई खच्चडले धक्का दिएपछि उनी  घोडासँगै लडेका थिए,Entertainment
13,समापन कार्यक्रममा प्रमुख अतिथी रहेका जिल्ला कृषि कार्यालय मोरङका वालि संरक्षण अधिकृत सागर भट्टराईले प्रदर्शनीले च्याऊ तथा महका बारेमा जान्न इच्छुकहरुका लागि फलदायी रहेको बताए ,Economy
14, लामो समयदेखि त्यस भेगमा खडेरी परेको हुँदा पण्डित गणेशदत्त पन्तोपाध्यायसँग सहयोग माग्ने आफन्तको संख्या बढ्दै जान्छ,Entertainment
15,’ सरकारले दोस्रो चरणमा गाविसस्तरका सडकमा पनि सौर्यबत्ती जडान गर्ने उनले जानकारी दिए ,National
16," म आफैं बेगनास ताल सेरोफेरोमा हुर्केको हुनाले तालमा जिवनयापन गर्ने बोटे, माझीको मर्म र थुप्रै घटना देखेको छु ",Entertainment
17,अन्य अनुगमन गर्ने सरकारी निकायले पनि यि घटनालार्इ नसनेको जत्तिकै गरेर टारिरहेका छन् ,National
18,"तर, आगामी तीन वर्षपछि निगमले कति कारोबार गर्छ र कति नाफा कमाउँछ भन्ने चाहीँ उनको कार्ययोजनामा उल्लेख छैन ",Economy
19,द नामिबियनले आफ्नो समाचारमा नेपाल अफगानिस्तान जत्तिकै बलियो नभएको बताएको छ ,Sports
20, कुटपिट गर्ने शिक्षकसहित मृतकका श्रीमान्लाई पनि प्रहरीले हिरासतमा लिएकाले तीन बालक छिमेकीको घरमा शरणार्थी बनेका छन्,Sports
21, तत्कालीन प्रधानमन्त्री टंकप्रसाद आचार्य साँखुबाट काठमाडौं फर्कंदै थिए ,Entertainment
22," ठूलो समस्या पर्दा सस्तो मूल्यमै औषधि आयात गर्न सकिनेछ,” उपसचिव अर्यालले भनिन्, “जस्तै, एड्स रोगको औषधि पत्ता लागे पेटन्ट संरक्षित अनिवार्य इजाजतबाट उत्पादित औषधि पनि आयात गर्न सकिन्छ ",Economy
23,काठमाडौं- संयोग शाही र प्रतिमा शेर्पा हिमालयन बैंक कप गल्फ च्याम्पियन भएका छन्,Sports
24, दोस्रो दिन नेपालले भारोत्तोलनमा रजत र कांस्य गरी दुई पदक जित्यो ,Sports
25, यसका हाल छब्बीस करोड भन्दा धेरै ग्राहक तथा पच्चीस हजार कर्मचारी छन् ,Economy
26,उनले बार्सिलानाका कोहीले पनि रियल मड्रिडले कुनै पनि उपाधि जितेको हेर्न नचाहने बताएका हुन्,Sports
27, सँगसँगै पेन्डिङ (प्रतीक्षा)मा बसेका कर्जाहरू पनि भटाभट जारी हुन थालेका छन् ,Economy
28,"एन्फा कास्कीमा विवाद, खारेज गर्ने सदस्यसचिवको चेतावनीयसैबीच अखिल नेपाल फुटवल संघ (एन्फा) कास्कीमा विवाद चर्किएको छ ",Sports
29," पोखराको सांगीतिक समूह, दी एज ले चार वटा अल्बम निकालिसक्दा पनि पत्रकार सम्मेलन गरेको छैन",Entertainment
30," “घुमन्ते रुचि मिलेकाले हामी तुरुन्तैजसो दुनियाँ नियाल्न निस्कियौं”, फोर्ब्स भन्छन्, “हामी बेलाबेला हिप्पीसँगै हुन्थ्यौं, तर पनि हिप्पी जस्ता थिएनौं",Entertainment
31, अन्तर्राष्ट्रिय फुटबल महासंघ (फिफा)ले शुक्रबार सार्वजिनक गरेको अन्तिम सूचीमा परेका तीनैजना खेलाडी स्पेनिस क्लबका छन् ,Sports
32, यस्तै मिश्रले आगामी सोमबारबाट सुरु हुने सुपर लिगमा भने आवश्यकअनुसार बल किड्स राख्न सक्ने जानकारी दिए ,Sports
33, स्थानीय लवज पछिसम्म राखिएको भए अझै सुन्दर हुने उनको टिप्पणी थियो ,Entertainment
34,मालबाहक सवारी सहज रूपमा नेपाल भित्रिन नपाउँदा उद्योगी व्यपारीले करोडौँ रुपैयाँ घाटा व्यहोर्नुपरेको उधोग संगठन मोरङले जनाएको छ ,Economy
35," मन्त्रालयका सचिव डा कृष्णचन्द्र पौडेलले देशभरका कृषक, उद्यमी, विज्ञ एवम् सरोकारवालासँग छलफल गरी सम्भावना अध्ययन र आवश्यकताका आधारमा प्रतिवद्धता ल्याइएको बताए ",National
36,अन्तर्राष्ट्रिय क्रिकेट परिषद (आइसीसी)बाट निलम्बनमा परेपछि विवादमा रुमल्लिइरहेको नेपाली क्रिकेट थप अन्योलमा धकेलिएको छ,Entertainment
37,"तर, त्यसबेला ज्ञानेन्द्रसँग संसदवादी दलले गरेको भनिएको सहमति गुपचुप अवस्थामै रहेको थियो ",National
38," आर्मी र एपीएफको समूह चरणको अन्तिम खेल शुक्रबार हुनेछ, जसले समूह विजेताको टुंगो लाग्नेछ ",Sports
39,बुधवारसम्म सबै उम्मेवारको टुंगो लाग्ने अध्यक्षका उम्मेदवार दीपक गौतमले बताए ,National
40,"दिनभरिमा यतिवटा काम भयो कसैले भन्दैन, तीनवटा काम भएन भने भएन भन्ने हल्ला गर्छन् ",National
41,धेरैलाई राम्रो रोजीरोटी उपलब्ध गराउने नाका सुचारु हुन नसकेपछि धेरैले यसैगरी जोखिम मोलेर अवैध बाटोबाट अमेरिकासम्मको यात्रा तय गरेका छन् ,National
